model_name,file_path,conforms_to,persisted,codable,sendable,identifiable,storage_location_if_persisted,owner_service,used_by,important_fields,schema_or_migration_risk,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,pattern: String,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
GetCorpusStatsTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
FindRelatedDocumentsTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, topic: String, maxResults: Int?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,"topic: String, maxResults: Int?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
CompareDocumentsTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, topic: String, documentNames: [String]?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,"topic: String, documentNames: [String]?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
RetrieveCorpusEvidenceTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, query: String, mode: String, maxResults: Int?, minSimilarity: Float?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,"query: String, mode: String, maxResults: Int?, minSimilarity: Float?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
InspectDocumentTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, documentName: String",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,documentName: String,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
CompareTopicAcrossDocumentsTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?, topic: String, documentNames: [String]?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,"topic: String, documentNames: [String]?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
GetLibraryOverviewTool,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,Tool,No,No,No,No,,,,"name: , description: , ragService: RAGService?",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
Arguments,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
FoundationModelToolRegistry,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/AppleFoundationModels/FoundationModelToolRegistry.swift,scan_codebase.py,Parsed model schema
CoreAIEmbeddingBackend,OpenIntelligence/Services/AIPlatform/CoreAI/CoreAIEmbeddingBackend.swift,Sendable,No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/CoreAI/CoreAIEmbeddingBackend.swift,scan_codebase.py,Parsed model schema
CoreAIModelConfig,OpenIntelligence/Services/AIPlatform/CoreAI/CoreAIModelRegistry.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"modelId: String, modelPath: String, type: CoreAIModelType",Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/CoreAI/CoreAIModelRegistry.swift,scan_codebase.py,Parsed model schema
CoreAIModelType,OpenIntelligence/Services/AIPlatform/CoreAI/CoreAIModelRegistry.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/AIPlatform/CoreAI/CoreAIModelRegistry.swift,scan_codebase.py,Parsed model schema
ThinkingStep,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: UUID, type: StepType, input: String, output: String, tokensUsed: Int, duration: TimeInterval, timestamp: Date, confidence: Float?, displayName: String, thinkingKind: ThinkingEvent.Kind",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
StepType,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,"String, Sendable",No,No,Yes,No,,,,"displayName: String, thinkingKind: ThinkingEvent.Kind",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
AgenticConfig,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"maxSteps: Int, maxTotalTokens: Int, streamIntermediateResults: Bool, confidenceThreshold: Float, escalationThreshold: Float, isUnlimited: Bool",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
AgenticResult,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"finalAnswer: String, steps: [ThinkingStep], totalTokens: Int, totalDuration: TimeInterval, confidence: Float, sourcesUsed: Int, retrievedChunks: [RetrievedChunk], reasoningSummary: String",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
SelfRAGVerification,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"addressesQuestion: Bool, citationsVerified: Bool, verifiedCitationCount: Int, unverifiedCitationCount: Int, calibratedConfidence: Float, summary: String, action: String",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
ReasoningChainConfig,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"sessionCount: Int, maxContextPerSession: Int, maxInsightLength: Int",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
MultiChainConfig,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"maxClusters: Int, minDocsPerCluster: Int, sessionsPerCluster: Int, synthesisSessions: Int, maxParallelChains: Int",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
MultiChainResult,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"finalAnswer: String, clusterInsights: [ClusterInsight], totalTokens: Int, totalSessions: Int, totalDuration: TimeInterval, confidence: Float, clusterName: String, documents: [String], insight: String, chainInsights: [String]",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
ClusterInsight,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"clusterName: String, documents: [String], insight: String, chainInsights: [String], tokensUsed: Int, sessionsRun: Int",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
ReasoningChainResult,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"finalAnswer: String, chainInsights: [String], totalTokens: Int, sessionCount: Int, confidence: Float, sources: [String]",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
UnlimitedResult,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,Sendable,No,No,Yes,No,,,,"finalAnswer: String, steps: [ThinkingStep], totalTokens: Int, sessionsRun: Int, confidence: Float, terminationReason: TerminationReason",Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
TerminationReason,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,"String, Sendable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Agentic/AgenticOrchestrator.swift,scan_codebase.py,Parsed model schema
ConversationMemory,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"id: UUID, containerId: UUID, summary: String, entities: [String], recentTurns: [MemoryTurn], topics: [String], lastUpdated: Date, totalTurnsSummarized: Int",Low,,code_verified,high,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,scan_codebase.py,Parsed model schema
MemoryTurn,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,"Codable, Sendable, Identifiable",No,Yes,Yes,Yes,,,,"id: UUID, userQuery: String, assistantResponse: String, timestamp: Date, extractedFacts: [String], importanceScore: Float",Low,,code_verified,high,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,scan_codebase.py,Parsed model schema
ConversationMemoryConfig,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,Sendable,No,No,Yes,No,,,,"maxRecentTurns: Int, maxSummaryLength: Int, summarizationThreshold: Int, maxEntities: Int, maxTopics: Int, compact: ",Low,,code_verified,high,OpenIntelligence/Services/Agentic/ConversationMemoryService.swift,scan_codebase.py,Parsed model schema
OIDocumentEntity,OpenIntelligence/Services/Agentic/Entities/OIDocumentEntity.swift,AppEntity,No,No,No,No,,,,"typeDisplayRepresentation: , id: UUID, filename: String, totalChunks: Int, displayRepresentation: DisplayRepresentation, defaultQuery: ",Low,,code_verified,high,OpenIntelligence/Services/Agentic/Entities/OIDocumentEntity.swift,scan_codebase.py,Parsed model schema
OILibraryEntity,OpenIntelligence/Services/Agentic/Entities/OILibraryEntity.swift,AppEntity,No,No,No,No,,,,"typeDisplayRepresentation: , id: UUID, name: String, totalDocuments: Int, displayRepresentation: DisplayRepresentation, defaultQuery: ",Low,,code_verified,high,OpenIntelligence/Services/Agentic/Entities/OILibraryEntity.swift,scan_codebase.py,Parsed model schema
DocumentImportStatusSnapshot,OpenIntelligence/Services/Agentic/RAGAppIntents.swift,Sendable,No,No,Yes,No,,,,"activeCount: Int, currentFilename: String, currentStage: String, queuedFilenames: [String], spokenResponse: String",Low,,code_verified,high,OpenIntelligence/Services/Agentic/RAGAppIntents.swift,scan_codebase.py,Parsed model schema
BillingEvent,OpenIntelligence/Services/Billing/BillingEvent.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Billing/BillingEvent.swift,scan_codebase.py,Parsed model schema
DocumentPackEntry,OpenIntelligence/Services/Billing/EntitlementStore.swift,"Codable, Identifiable",No,Yes,No,Yes,,,,"id: UUID, transactionId: UInt64?, purchaseDate: Date, credits: Int, expirationDate: Date?, isExpired: Bool, activeCredits: Int",Low,,code_verified,high,OpenIntelligence/Services/Billing/EntitlementStore.swift,scan_codebase.py,Parsed model schema
LocalModelAccessState,OpenIntelligence/Services/Billing/EntitlementStore.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Billing/EntitlementStore.swift,scan_codebase.py,Parsed model schema
MaximumModeQuotaState,OpenIntelligence/Services/Billing/MaximumModeQuotaStore.swift,Sendable,No,No,Yes,No,,,,"dayKey: String, usedCount: Int, dailyLimit: Int, remainingUses: Int",Low,,code_verified,high,OpenIntelligence/Services/Billing/MaximumModeQuotaStore.swift,scan_codebase.py,Parsed model schema
LegacyProtectionState,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,"isProtected: Bool, displayName: String",Low,,code_verified,high,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,scan_codebase.py,Parsed model schema
EntitlementSnapshot,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,Sendable,No,No,Yes,No,,,,"activeTier: WorkspaceTier, documentLimit: Int, libraryLimit: Int, maximumModePolicy: MaximumModeAccessPolicy, legacyProtectionState: LegacyProtectionState, shouldOfferDocumentPack: Bool, isLifetime: Bool, isLegacyPaidProtected: Bool, hasUnlimitedDocuments: Bool",Low,,code_verified,high,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,scan_codebase.py,Parsed model schema
MaximumModeExecutionDecision,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,Sendable,No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Billing/MonetizationPolicy.swift,scan_codebase.py,Parsed model schema
SummaryConfig,OpenIntelligence/Services/Document/Analysis/DocumentSummaryService.swift,Sendable,No,No,Yes,No,,,,"targetWords: Int, maxInputChars: Int, extractEntities: Bool, extractTopics: Bool, compact: ",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/DocumentSummaryService.swift,scan_codebase.py,Parsed model schema
EntityIndexSnapshotData,OpenIntelligence/Services/Document/Analysis/EntityIndexService.swift,Sendable,No,No,Yes,No,,,,"entityToChunks: [String: [UUID]], documentToChunks: [UUID: [UUID]], documentToContainer: [UUID: UUID]?, lastUpdated: Date",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/EntityIndexService.swift,scan_codebase.py,Parsed model schema
SpatialTextElement,OpenIntelligence/Services/Document/Analysis/SpatialDocumentAnalyzer.swift,Sendable,No,No,Yes,No,,,,"text: String, boundingBox: CGRect, confidence: Float, relativeHeight: CGFloat, estimatedFontSize: FontSizeCategory, isAllCaps: Bool, isShortLine: Bool, columnIndex: Int, lineIndex: Int, readingOrder: Int",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpatialDocumentAnalyzer.swift,scan_codebase.py,Parsed model schema
FontSizeCategory,OpenIntelligence/Services/Document/Analysis/SpatialDocumentAnalyzer.swift,"String, Sendable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpatialDocumentAnalyzer.swift,scan_codebase.py,Parsed model schema
DocumentHierarchyElement,OpenIntelligence/Services/Document/Analysis/SpatialDocumentAnalyzer.swift,Sendable,No,No,Yes,No,,,,"level: Int, text: String, pageNumber: Int, startY: CGFloat, children: [DocumentHierarchyElement], prefix: ",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpatialDocumentAnalyzer.swift,scan_codebase.py,Parsed model schema
SpecificationBlock,OpenIntelligence/Services/Document/Analysis/SpecificationDetector.swift,Sendable,No,No,Yes,No,,,,"category: String, value: String, range: Range<String.Index>",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpecificationDetector.swift,scan_codebase.py,Parsed model schema
SpecificationDetector,OpenIntelligence/Services/Document/Analysis/SpecificationDetector.swift,Sendable,No,No,Yes,No,,,,"universalPatterns: [(category: String, pattern: String)]",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpecificationDetector.swift,scan_codebase.py,Parsed model schema
SpeechAnalysisResult,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,Sendable,No,No,Yes,No,,,,"text: String, duration: TimeInterval, language: DetectedLanguage, utterances: [AnalyzedUtterance], confidence: Float, speakerCount: Int, isSuccessful: Bool, wordCount: Int",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,scan_codebase.py,Parsed model schema
AnalyzedUtterance,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,Sendable,No,No,Yes,No,,,,"text: String, startTime: TimeInterval, endTime: TimeInterval, confidence: Float, speakerLabel: String?",Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,scan_codebase.py,Parsed model schema
ContentTags,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,"Sendable, Codable",No,Yes,Yes,No,,,,"topics: [String], actions: [String], emotions: [String], objects: [String], allTags: [String], result: [String], displayTags: [String], unique: , empty: ",Low,,code_verified,high,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,scan_codebase.py,Parsed model schema
ContentTags,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,"Sendable, Codable",No,Yes,Yes,No,,,,"topics: [String], actions: [String], emotions: [String], objects: [String], allTags: [String], displayTags: [String], empty: ",Low,,code_verified,high,OpenIntelligence/Services/Document/Chunking/ContentTaggingService.swift,scan_codebase.py,Parsed model schema
PageComplexity,OpenIntelligence/Services/Document/Chunking/PageComplexityAnalyzer.swift,"Int, Comparable, Sendable",No,No,Yes,No,,,,"description: String, requiresVisionOCR: Bool, useEnhancedOCR: Bool, useFullVisionAnalysis: Bool",Low,,code_verified,high,OpenIntelligence/Services/Document/Chunking/PageComplexityAnalyzer.swift,scan_codebase.py,Parsed model schema
PageComplexityAnalysis,OpenIntelligence/Services/Document/Chunking/PageComplexityAnalyzer.swift,Sendable,No,No,Yes,No,,,,"pageNumber: Int, complexity: PageComplexity, textCoverage: Double, textQuality: Double, fineTextRisk: Double, hasNativeTextLayer: Bool, imagePresence: Double, figurePresence: Double, chartPresence: Double, tablePresence: Double",Low,,code_verified,high,OpenIntelligence/Services/Document/Chunking/PageComplexityAnalyzer.swift,scan_codebase.py,Parsed model schema
ChunkingConfig,OpenIntelligence/Services/Document/Chunking/SemanticChunker.swift,,No,No,No,No,,,,"targetSize: Int, minSize: Int, maxSize: Int, overlap: Int, useTopicDetection: Bool, preserveStructure: Bool, parentWindowChars: Int, technicalReference: , narrative: , code: ",Low,,code_verified,high,OpenIntelligence/Services/Document/Chunking/SemanticChunker.swift,scan_codebase.py,Parsed model schema
DocumentContentType,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,"String, Sendable, CaseIterable",No,No,Yes,No,,,,processingHints: ProcessingHints,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,scan_codebase.py,Parsed model schema
ProcessingHints,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,"Sendable, Equatable",No,No,Yes,No,,,,"ocrAccuracy: OCRAccuracy, preserveLayout: Bool, extractTables: Bool, chunkingPreset: ChunkingPreset",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,scan_codebase.py,Parsed model schema
OCRAccuracy,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,"Sendable, Equatable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,scan_codebase.py,Parsed model schema
ChunkingPreset,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,"Sendable, Equatable",No,No,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,scan_codebase.py,Parsed model schema
DocumentClassificationResult,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,Sendable,No,No,Yes,No,,,,"contentType: DocumentContentType, confidence: Float, allClassifications: [(type: DocumentContentType, confidence: Float)], processingHints: ProcessingHints, isHighConfidence: Bool",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLDocumentClassifier.swift,scan_codebase.py,Parsed model schema
DocumentRegionType,OpenIntelligence/Services/Document/Classification/CoreMLRegionDetector.swift,"String, Sendable, CaseIterable",No,No,Yes,No,,,,"requiresSpecialProcessing: Bool, isAtomic: Bool",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLRegionDetector.swift,scan_codebase.py,Parsed model schema
DocumentDetectedRegion,OpenIntelligence/Services/Document/Classification/CoreMLRegionDetector.swift,"Sendable, Identifiable",No,No,Yes,Yes,,,,"id: , type: DocumentRegionType, boundingBox: CGRect, confidence: Float, pageNumber: Int, extractedContent: String?, metadata: [String: String]",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLRegionDetector.swift,scan_codebase.py,Parsed model schema
RegionDetectionResult,OpenIntelligence/Services/Document/Classification/CoreMLRegionDetector.swift,Sendable,No,No,Yes,No,,,,"pageNumber: Int, regions: [DocumentDetectedRegion], processingTimeMs: Double, modelUsed: String, yDiff: , hasTables: Bool, hasFigures: Bool",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/CoreMLRegionDetector.swift,scan_codebase.py,Parsed model schema
AnalyzedImage,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,Sendable,No,No,Yes,No,,,,"imageId: UUID, pageNumber: Int, boundingBox: CGRect, classifications: [ImageClassification], description: String?, associatedCaption: String?, contentType: ImageContentType, extractedText: String?, precedingContext: String?, followingContext: String?",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Parsed model schema
ImageClassification,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,Sendable,No,No,Yes,No,,,,"identifier: String, confidence: Float",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Parsed model schema
ImageContentType,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,"String, Sendable, Codable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Parsed model schema
VisualContentMetadata,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"imageCount: Int, imageClassifications: [String: Float], hasTableContent: Bool, columnLayout: ColumnLayout, captionedImages: Int, imagesWithDescriptions: Int, empty: VisualContentMetadata",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Parsed model schema
ColumnLayout,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Parsed model schema
StandaloneImageAnalysis,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,Sendable,No,No,Yes,No,,,,"classifications: [ImageClassification], contentType: ImageContentType, extractedText: String?, aiDescription: String?, classificationDescription: String?, structuredText: String, ocrText: String, bestDescription: String",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/ImageUnderstandingService.swift,scan_codebase.py,Parsed model schema
DetectedObject,OpenIntelligence/Services/Document/Classification/YOLODetectionService.swift,"Identifiable, Sendable",No,No,Yes,Yes,,,,"id: , label: String, confidence: Float, boundingBox: CGRect, description: String",Low,,code_verified,high,OpenIntelligence/Services/Document/Classification/YOLODetectionService.swift,scan_codebase.py,Parsed model schema
Strategy,OpenIntelligence/Services/Document/Config/OCRConfiguration.swift,Sendable,No,No,Yes,No,,,,"name: String, sharpenRadius: Double, sharpenIntensity: Double, contrast: Double, brightness: Double, saturation: Double, exposureAdjust: Double?, noiseReduction: Double?",Low,,code_verified,high,OpenIntelligence/Services/Document/Config/OCRConfiguration.swift,scan_codebase.py,Parsed model schema
ObservationAnalysis,OpenIntelligence/Services/Document/Config/OCRConfiguration.swift,Sendable,No,No,Yes,No,,,,"text: String, confidence: Float, containsNumericData: Bool, isUncertain: Bool, alternatives: [(text: String, confidence: Float)], uncertainNumbers: [UncertainNumber]",Low,,code_verified,high,OpenIntelligence/Services/Document/Config/OCRConfiguration.swift,scan_codebase.py,Parsed model schema
UncertainNumber,OpenIntelligence/Services/Document/Config/OCRConfiguration.swift,Sendable,No,No,Yes,No,,,,"value: String, confidence: Float, alternatives: [String]",Low,,code_verified,high,OpenIntelligence/Services/Document/Config/OCRConfiguration.swift,scan_codebase.py,Parsed model schema
TranscriptionResult,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,Sendable,No,No,Yes,No,,,,"text: String, duration: TimeInterval, language: DetectedLanguage, segments: [TranscriptionSegment], confidence: Float, isSuccessful: Bool, wordCount: Int",Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,scan_codebase.py,Parsed model schema
TranscriptionSegment,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,Sendable,No,No,Yes,No,,,,"text: String, startTime: TimeInterval, endTime: TimeInterval, confidence: Float",Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,scan_codebase.py,Parsed model schema
GazetteerEntity,OpenIntelligence/Services/Document/Extraction/GazetteerService.swift,"Sendable, Hashable",No,No,Yes,No,,,,"term: String, label: String, source: String",Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/GazetteerService.swift,scan_codebase.py,Parsed model schema
DetectedLanguage,OpenIntelligence/Services/Document/Extraction/LanguageDetectionService.swift,Sendable,No,No,Yes,No,,,,"code: NLLanguage, confidence: Double, displayName: String, isConfident: Bool, isEnglish: Bool, english: , unknown: ",Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/LanguageDetectionService.swift,scan_codebase.py,Parsed model schema
DocumentLanguageProfile,OpenIntelligence/Services/Document/Extraction/LanguageDetectionService.swift,Sendable,No,No,Yes,No,,,,"primaryLanguage: DetectedLanguage, additionalLanguages: [DetectedLanguage], isMultilingual: Bool, sampleSize: Int",Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/LanguageDetectionService.swift,scan_codebase.py,Parsed model schema
TranslationResult,OpenIntelligence/Services/Document/Extraction/TranslationService.swift,Sendable,No,No,Yes,No,,,,"originalText: String, translatedText: String, sourceLanguage: Locale.Language, targetLanguage: Locale.Language, isTranslated: Bool",Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/TranslationService.swift,scan_codebase.py,Parsed model schema
